ID,sweet_BA6,sweet_KA6,sweet_BS6,sweet_KA10,sour_BA6,sour_KA6,sour_BS6,sour_KA10,bitter_BA6,bitter_KA6,bitter_BS6,bitter_KA10
1,25.0,60.0,25.0,40.0,0.0,5.0,0.0,5.0,40.0,65.0,60.0,30.0
2,40.0,15.0,6.0,43.0,23.0,25.0,2.0,19.0,28.0,33.0,58.0,28.0
3,62.0,35.0,63.0,55.0,24.0,20.0,25.0,30.0,50.0,75.0,54.0,68.0
4,55.0,11.0,10.0,12.0,13.0,2.0,16.0,9.0,65.0,18.0,46.0,18.0
5,50.0,50.0,60.0,50.0,55.0,55.0,55.0,55.0,65.0,65.0,65.0,60.0
6,20.0,20.0,50.0,16.0,20.0,60.0,70.0,69.0,76.0,61.0,70.0,55.0
7,20.0,25.0,30.0,15.0,35.0,40.0,29.0,40.0,70.0,60.0,40.0,65.0
8,80.0,19.0,51.0,22.0,30.0,70.0,50.0,73.0,61.0,51.0,60.0,83.0
9,24.0,28.0,41.0,34.0,10.0,15.0,14.0,12.0,66.0,51.0,14.0,23.0
10,36.0,37.0,30.0,8.0,4.0,11.0,10.0,9.0,66.0,41.0,35.0,90.0
11,45.0,40.0,45.0,40.0,80.0,80.0,10.0,70.0,73.0,35.0,70.0,20.0
12,8.0,11.0,10.0,10.0,0.0,0.0,0.0,10.0,90.0,90.0,90.0,80.0
13,45.0,40.0,68.0,52.0,38.0,53.0,34.0,23.0,25.0,70.0,21.0,69.0
14,41.0,10.0,60.0,10.0,61.0,60.0,81.0,40.0,50.0,60.0,40.0,70.0
15,40.0,55.0,45.0,30.0,46.0,60.0,50.0,70.0,65.0,65.0,0.0,80.0
16,30.0,20.0,10.0,30.0,0.0,0.0,0.0,0.0,60.0,60.0,70.0,70.0
17,30.0,50.0,25.0,30.0,35.0,0.0,35.0,40.0,50.0,40.0,50.0,50.0
18,49.0,29.0,30.0,61.0,52.0,61.0,14.0,72.0,61.0,73.0,67.0,69.0
19,59.0,40.0,60.0,51.0,65.0,70.0,10.0,10.0,40.0,50.0,10.0,17.0
20,30.0,29.0,39.0,23.0,17.0,79.0,30.0,10.0,62.0,26.0,60.0,82.0
21,45.0,30.0,46.0,58.0,22.0,17.0,21.0,7.0,22.0,48.0,44.0,18.0
22,31.0,26.0,23.0,32.0,40.0,18.0,8.0,14.0,50.0,60.0,63.0,70.0
23,14.0,7.0,63.0,7.0,1.0,1.0,7.0,4.0,34.0,46.0,75.0,54.0
24,45.0,6.0,85.0,9.0,14.0,1.0,47.0,3.0,34.0,86.0,20.0,39.0